analysis_unit_id,window_size_seconds,window_index,session_id,actor_type,bot_type,total_events,click_count,scroll_count,keydown_count,mousemove_count,mean_interval,std_interval,min_interval,max_interval,start_time,session_duration,event_rate,click_ratio,scroll_ratio,keydown_ratio,mousemove_ratio,idle_ratio,longest_idle_gap,sequence_entropy,repetition_score,bigram_CC,bigram_CK,bigram_CS,bigram_CM,bigram_KC,bigram_KK,bigram_KS,bigram_MC,bigram_MS,bigram_SC,bigram_SK,bigram_SS,label
065f3ad7-9cfa-4737-9ab6-548ecca858fb_full,-1,0,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,319,4,231,0,72,0.7088333333333335,7.285601855145048,0.001,123.354,1774720368.15,225.409,1.415205249124924,0.012539184952978056,0.7241379310344828,0.0,0.22570532915360503,0.8606488649521538,123.354,1.1160027278720925,0.8301886792452831,0.0,0.0,0.0031446540880503146,0.0,0.0,0.0,0.0,0.012578616352201259,0.050314465408805034,0.0,0.0,0.6729559748427673,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_0,10,0,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,26,2,1,0,20,0.39352000000000004,0.5617938619576875,0.002,2.754,1774720368.15,9.838,2.6428135799959342,0.07692307692307693,0.038461538461538464,0.0,0.7692307692307693,0.27993494612726166,2.754,1.2220334913046595,0.68,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_1,10,1,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,123,0,105,0,17,0.0807295081967213,0.20269987735342856,0.001,1.332,1774720378.205,9.849,12.488577520560463,0.0,0.8536585365853658,0.0,0.13821138211382114,0.0,1.332,0.6459076138254297,0.860655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557377049180328,0.0,0.0,0.7950819672131147,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_16,10,16,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,55,0,47,0,7,0.06246296296296297,0.14090579121740304,0.001,0.782,1774720534.766,3.373,16.30595908686629,0.0,0.8545454545454545,0.0,0.12727272727272726,0.0,0.782,0.6774113411018927,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.7962962962962963,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_17,10,17,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,30,0,27,0,3,0.3316896551724138,1.1333736334957893,0.01,5.104,1774720538.16,9.619,3.1188273209273314,0.0,0.9,0.0,0.1,0.9050836885331115,5.104,0.4689955935892812,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896551724137931,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_18,10,18,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,31,0,26,0,4,0.14666666666666667,0.45738004519996983,0.008,2.455,1774720550.397,4.4,7.045454545454545,0.0,0.8387096774193549,0.0,0.12903225806451613,0.5579545454545455,2.455,0.7538275145266043,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.8333333333333334,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_22,10,22,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,4,0,0,0,3,0.317,0.10350362312499016,0.213,0.42,1774720592.608,0.951,4.206098843322819,0.0,0.0,0.0,0.75,0.0,0.42,0.8112781244591328,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_3,10,3,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,16,0,5,0,9,0.2517333333333333,0.29744326389766373,0.01,1.181,1774720404.354,3.776,4.237288135593221,0.0,0.3125,0.0,0.5625,0.0,1.181,1.4913146570363986,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win10_4,10,4,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,34,2,20,0,9,0.09884848484848484,0.12284520778507224,0.002,0.442,1774720408.15,3.262,10.423053341508277,0.058823529411764705,0.5882352941176471,0.0,0.2647058823529412,0.0,0.442,1.5884073438759847,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.5151515151515151,human
065f3ad7-9cfa-4737-9ab6-548ecca858fb_win5_0,5,0,065f3ad7-9cfa-4737-9ab6-548ecca858fb,human,none,14,1,0,0,11,0.2947692307692308,0.23595803081839004,0.061,0.882,1774720368.15,3.832,3.653444676409186,0.07142857142857142,0.0,0.0,0.7857142857142857,0.0,0.882,1.0892300788425848,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,human
